,sample,path,fna_file,fsa_file,gff_file,tbl_file,contig_base
0,0CC2K_S1A62,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A62,True,True,True,True,FLJFHGFA
0,0CC2K_S1A63,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A63,True,True,True,True,FFCNBLHL
0,0CC2K_S1A64,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A64,True,True,True,True,BEFJIOJI
0,0CC2K_S1A65,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A65,True,True,True,True,GFKECCLL
0,0CC2K_S1A66,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A66,True,True,True,True,LAPGMGJM
0,0CC2K_S1A67,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A67,True,True,True,True,FHJBBKLN
0,0CC2K_S1A68,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A68,True,True,True,True,MHIKDFCP
0,0CC2K_S1A69,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A69,True,True,True,True,JEFLMEPP
0,0CC2K_S1A70,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A70,True,True,True,True,HDPEPDAH
0,0CC2K_S1A71,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A71,True,True,True,True,HOJAJBHJ
0,0CC2K_S1A72,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A72,True,True,True,True,MJAEDLHH
0,0CC2N_S1D50,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2N_S1D50,True,True,True,True,OBKNOLDG
0,0CC2N_S1D52,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2N_S1D52,True,True,True,True,JEMDBEGK
0,0CC2N_S1D53,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2N_S1D53,True,True,True,True,ALKIIJEK
0,0CC2N_S1D54,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2N_S1D54,True,True,True,True,FMJADKGB
0,0CC2N_S1D56,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2N_S1D56,True,True,True,True,ONEBIFKG
