,gene,gains,losses,count,dist,subsize
4101,group_317,1,0,2.0,0.339786,0.003619
4102,group_3538,1,0,1.0,0.252095,0.000593
4103,group_4393,1,0,1.0,0.053032,0.000498
4104,group_4923,1,0,1.0,0.31640199999999996,0.000713
4105,group_5927,3,0,3.0,0.316068,0.0024200000000000003
4106,group_5928,3,0,3.0,0.316068,0.0024200000000000003
4107,group_5929,3,0,3.0,0.316068,0.0024200000000000003
4108,group_6055,1,0,1.0,0.065317,0.027316
4109,group_6144,1,0,1.0,0.252095,0.000593
4110,group_6496,1,0,1.0,0.252307,0.001015
4111,group_7868,1,0,1.0,0.316068,0.000863
4112,group_7869,1,0,1.0,0.316068,0.000863
4113,group_7933,3,0,3.0,0.316068,0.0024200000000000003
4114,group_9222,1,0,1.0,0.33328199999999997,0.001039
4115,group_122,0,0,0.0,inf,0.0
4116,group_2177,1,0,1.0,0.252095,0.000593
4117,group_2275,1,0,1.0,0.316068,0.000863
4118,tetK,1,0,1.0,0.030719999999999997,0.002449
4119,group_5062,2,0,2.0,0.316068,0.0015760000000000001
4120,group_5064,0,0,0.0,inf,0.0
4121,group_5710,1,0,1.0,0.343421,0.00266
4122,group_7269,1,0,1.0,0.053032,0.000498
4123,group_7536,1,0,1.0,0.053032,0.000498
4124,group_8261,1,0,1.0,0.05178,0.001728
4125,group_1175,0,0,0.0,inf,0.0
4126,group_183,1,0,1.0,0.252095,0.000593
4127,group_1936,1,0,1.0,0.33328199999999997,0.001039
4128,group_1982,1,0,1.0,0.341218,0.001432
4129,group_225,0,0,0.0,inf,0.0
4130,group_3829,2,0,2.0,0.316068,0.0015760000000000001
4131,group_430,1,0,1.0,0.37312500000000004,0.005275
4132,group_4403,2,0,2.0,0.030719999999999997,0.002947
4133,group_4919,1,0,1.0,0.31640199999999996,0.000713
4134,group_5009,1,0,1.0,0.33328199999999997,0.001039
4135,group_5013,1,0,1.0,0.053032,0.000498
4136,group_5021,1,0,1.0,0.341218,0.001432
4137,group_5932,2,0,2.0,0.316068,0.0015760000000000001
4138,group_643,1,0,1.0,0.065317,0.027316
4139,group_7646,1,0,1.0,0.333422,0.001179
4140,group_7942,2,0,2.0,0.316068,0.0015760000000000001
4141,group_8057,1,0,1.0,0.31640199999999996,0.000713
4142,group_8434,1,0,1.0,0.065317,0.027316
4143,group_849,1,0,1.0,0.33328199999999997,0.001039
4144,group_8873,1,0,1.0,0.343421,0.00266
4145,group_1241,1,0,1.0,0.346139,0.005378
4146,group_1298,2,0,2.0,0.033531,0.032576
4147,group_1517,1,0,1.0,0.053032,0.000498
4148,group_3668,0,0,0.0,inf,0.0
4149,group_3795,1,0,1.0,0.053032,0.000498
4150,group_3844,1,0,1.0,0.030719999999999997,0.002449
4151,group_4224,1,0,1.0,0.25182,0.001479
4152,group_4395,1,0,1.0,0.31640199999999996,0.000713
4153,yycB,1,0,1.0,0.053032,0.000498
4154,tagG,1,0,1.0,0.31640199999999996,0.000713
4155,group_574,1,0,1.0,0.37312500000000004,0.005275
4156,group_5930,2,0,2.0,0.316068,0.0015760000000000001
4157,group_5982,0,0,0.0,inf,0.0
4158,group_7127,1,0,1.0,0.338704,0.002265
4159,group_7926,2,0,2.0,0.316068,0.0015760000000000001
4160,group_7927,2,0,2.0,0.316068,0.0015760000000000001
4161,group_7928,2,0,2.0,0.316068,0.0015760000000000001
4162,group_7929,2,0,2.0,0.316068,0.0015760000000000001
4163,group_7930,2,0,2.0,0.316068,0.0015760000000000001
4164,group_7931,2,0,2.0,0.316068,0.0015760000000000001
4165,group_7932,2,0,2.0,0.316068,0.0015760000000000001
4166,group_7934,2,0,2.0,0.316068,0.0015760000000000001
4167,group_7935,2,0,2.0,0.316068,0.0015760000000000001
4168,group_7937,2,0,2.0,0.316068,0.0015760000000000001
4169,group_7940,2,0,2.0,0.316068,0.0015760000000000001
4170,group_7941,2,0,2.0,0.316068,0.0015760000000000001
4171,group_7943,2,0,2.0,0.316068,0.0015760000000000001
4172,group_7944,2,0,2.0,0.316068,0.0015760000000000001
4173,group_7945,2,0,2.0,0.316068,0.0015760000000000001
4174,group_7946,2,0,2.0,0.316068,0.0015760000000000001
4175,group_7947,2,0,2.0,0.316068,0.0015760000000000001
4176,group_7948,2,0,2.0,0.316068,0.0015760000000000001
4177,group_7949,2,0,2.0,0.316068,0.0015760000000000001
4178,group_7950,2,0,2.0,0.316068,0.0015760000000000001
4179,group_7961,2,0,2.0,0.316068,0.0015760000000000001
4180,group_836,0,0,0.0,inf,0.0
4181,group_8492,0,0,0.0,inf,0.0
4182,group_8933,1,0,1.0,0.252095,0.000593
4183,group_1032,1,0,1.0,0.31640199999999996,0.000713
4184,group_1127,1,0,1.0,0.053032,0.000498
4185,lutP,0,0,0.0,inf,0.0
4186,group_181,1,0,1.0,0.33328199999999997,0.001039
4187,group_1942,0,0,0.0,inf,0.0
4188,group_217,1,0,1.0,0.053093999999999995,0.000486
4189,group_2797,0,0,0.0,inf,0.0
4190,group_2954,0,0,0.0,inf,0.0
4191,group_4397,1,0,1.0,0.053032,0.000498
