SampleName,Sample_No,Dataset,Lineage,Subphylogroup,Phylogroup,PDEs,median_GR,median_K,inhibition_score,Bioreps
8AB1N_25YH27,71,Baker2023,acera70,K.1.2,K,PDEs,0.1354298485,0.79639655,0.813493718961456,FALSE
8AB3K_24YA65,116,Baker2023,acera70,K.1.2,K,PDEs,0.126117215,0.8991997655,0.639162828734518,FALSE
8AC4C_9YC73,30,Baker2023,acera67,K.1.2,K,PDEs,0.076991868,1.0195318945,0.215696720123413,FALSE
8AC4C_9YC77,17,Baker2023,acera67,K.1.2,K,PDEs,0.0908657725,0.9284320125,0.0376236589938473,FALSE
8AC4C_9YC79,77,Baker2023,acera67,K.1.2,K,PDEs,0.095369039,0.9372328785,0.0580911483945768,FALSE
8AC4F_9YC4,118,Baker2023,acera72,F.3,F,noPDEs,0.100301355,1.350166107,0.814324788751006,FALSE
8AC4N_23YBC61,53,Baker2023,acera92,K.2,K,PDEs,0.0751653845,0.6757243315,0.468567069266993,FALSE
8AC4N_9YC12,43,Baker2023,acera92,K.2,K,PDEs,0.080160508,0.684242824,0.418518670550572,FALSE
8AC4N_9YC23,57,Baker2023,acera92,K.2,K,PDEs,0.085964156,0.7020673785,0.442672164497335,FALSE
8PB4C_25YD73,74,Baker2023,acera74,E.1,E,noPDEs,0.0939631115,0.8415653025,0.6715122682391,FALSE
8PB4C_25YD93,131,Baker2023,acera74,E.1,E,noPDEs,0.121162097,0.276498829,0.621013593605652,FALSE
8PB4C_25YD94,129,Baker2023,acera74,E.1,E,noPDEs,0.1091178405,0.294130588,0.59471252452961,FALSE
8PB4C_25YD96,138,Baker2023,acera74,E.1,E,noPDEs,0.091230257,0.231964375,NA,FALSE
8PB4F_25YD22,63,Baker2023,acera66,F.3,F,noPDEs,0.1577634615,1.1680991665,0.815247575072197,FALSE
A:437-Scr-Lc-2_t60,25,Conwill2022,biogeo2,C.1,C,noPDEs,0.1461492005,0.369461498,NA,FALSE
A:439-Scr-Fo-11_t60,28,Conwill2022,biogeo1,D.1,D,PDEs,0.1742068545,0.776849072,0.145716771172072,FALSE
A:439-Scr-Fo-7_t60,75,Conwill2022,biogeo1,D.1,D,PDEs,0.278708094,0.7821555135,0.0734414178573365,FALSE
A:440-Scr-Ch-1_t60,42,Conwill2022,biogeo2,C.1,C,noPDEs,0.109204537,0.9003305545,0.580113783546489,FALSE
A:440-Scr-Ch-2_t60,29,Conwill2022,biogeo1,D.1,D,PDEs,0.18064142,0.7874283915,0.0483209092392795,FALSE
A:442-Scr-trBa-3_t60,6,Conwill2022,biogeo3,A.3,A,noPDEs,0.164951531,1.1565325705,0.779680220396967,FALSE
A:443-Scr-trBa-10_t60,59,Conwill2022,biogeo3,A.3,A,noPDEs,0.142140737,0.7184951625,0.592496620973416,FALSE
A:443-Scr-trBa-8_t60,61,Conwill2022,biogeo3,A.3,A,noPDEs,0.1269616455,1.185765884,0.699922773781329,FALSE
B:304-Scr-Lc-4_t11,36,Conwill2022,biogeo12,H.2,H,PDEs,0.109245045,0.593632229,0.385724985185088,FALSE
B:306-Scr-clCh-3_t11,1,Conwill2022,biogeo20,C.1,C,noPDEs,0.1279305175,0.320631397,0.654847388460473,FALSE
B:306-Scr-clCh-4_t11,58,Conwill2022,biogeo20,C.1,C,noPDEs,0.1327413685,0.6753320925,0.722935042160076,FALSE
B:307-Scr-crNo-4_t11,13,Conwill2022,biogeo12,H.2,H,PDEs,0.1125420955,0.5822296755,NA,FALSE
B:311-Scr-ccCh-1_t11,81,Conwill2022,biogeo6,F.3,F,noPDEs,0.1012534745,1.0618968035,0.837159051259214,FALSE
B:311-Scr-ccCh-3_t11,33,Conwill2022,biogeo20,C.1,C,noPDEs,0.128755213,0.245531613,0.602640561715311,FALSE
B:311-Scr-ccCh-5_t11,66,Conwill2022,biogeo6,F.3,F,noPDEs,0.113292449,1.165599573,0.794060240482286,FALSE
H:312-Scr-Fo-5_t11,110,Conwill2022,biogeo4,A.1,A,noPDEs,0.091915342,0.8165990365,0.660696923372725,FALSE
H:316-Scr-clNo-1_t11,111,Conwill2022,biogeo4,A.1,A,noPDEs,0.0872862275,0.303399055,0.542150204759708,FALSE
H:318-Scr-trBa-2_t11,99,Conwill2022,biogeo4,A.1,A,noPDEs,0.107698757,0.7900976375,0.683255587962919,FALSE
H:321-Scr-clLc-6_t11,84,Conwill2022,biogeo4,A.1,A,noPDEs,0.0973934555,0.6062653945,0.301286077508241,FALSE
O:383-Scr-Lc-3_t11,127,Conwill2022,biogeo24,F.1,F,noPDEs,0.154190124,1.230999226,0.483187004180945,FALSE
O:383-Scr-Lc-6_t11,120,Conwill2022,biogeo24,F.1,F,noPDEs,0.099227559,1.235192415,0.80487062530098,FALSE
Q:401-Scr-trBa-1_t15,100,Conwill2022,biogeo51,A.2,A,noPDEs,0.0757667015,0.638265575,0.608285501549869,FALSE
