Unique_No,Unique_ID,Sample_No,Sample_Well,Sample_Plate,Bio_Replicate,Tech_Replicate,Phage,Growth Rate,Time to Max Growth,Saturation OD,Rsq,AUC
257,Plate 3 Well F6,66,F6,A,1,1,1,-0.148295,15.00027778,0.077596884,-0.991345196,23.059
258,Plate 3 Well F7,67,F7,A,1,1,1,0,0,0.011242261,0,19.70026667
259,Plate 3 Well F8,68,F8,A,1,1,1,0,0,0.070016329,0,21.8327
260,Plate 3 Well F9,69,F9,A,1,1,1,0,0,0.066483668,0,21.12333333
261,Plate 3 Well F10,70,F10,A,1,1,1,0,0,0.026436343,0,19.59856667
262,Plate 3 Well F11,71,F11,A,1,1,1,0,0,0.060316548,0,21.25933333
263,Plate 3 Well F12,72,F12,A,1,1,1,-0.019903272,8.333611111,0.070558949,-0.990711864,30.4737
264,Plate 3 Well G1,73,G1,A,1,1,1,0,0,0.042490898,0,20.56626667
265,Plate 3 Well G2,74,G2,A,1,1,1,-0.25952581,10.66694444,0.105425235,-0.990614897,22.3121
266,Plate 3 Well G3,75,G3,A,1,1,1,0.082880618,24.33361111,0.770642378,0.999887746,88.0149
267,Plate 3 Well G4,76,G4,A,1,1,1,0,0,0.045163572,0,20.4007
268,Plate 3 Well G5,77,G5,A,1,1,1,0.109086931,4.666944444,0.829999438,0.995691709,122.3035333
269,Plate 3 Well G6,78,G6,A,1,1,1,-0.1765628,10.33361111,0.074842844,-0.990050802,21.67346667
270,Plate 3 Well G7,79,G7,A,1,1,1,0,0,0.08168823,0,22.67413333
271,Plate 3 Well G8,80,G8,A,1,1,1,0.111965654,113.0025,0.365470974,0.999479913,21.67886667
272,Plate 3 Well G9,81,G9,A,1,1,1,0,0,0.064542435,0,21.2673
273,Plate 3 Well G10,82,G10,A,1,1,1,0,0,0.052195383,0,21.82336667
274,Plate 3 Well G11,83,G11,A,1,1,1,0.081699962,30.33444444,0.635951277,0.999892115,84.18606667
275,Plate 3 Well G12,84,G12,A,1,1,1,0.146686742,33.00111111,0.882995546,0.999923556,56.34413333
276,Plate 3 Well H1,85,H1,A,1,1,1,0,0,0.095227959,0,23.17273333
277,Plate 3 Well H2,86,H2,A,1,1,1,0,0,0.055014016,0,20.7897
278,Plate 3 Well H3,87,H3,A,1,1,1,-0.193935794,10.00027778,0.115879561,-0.990287688,26.06763333
279,Plate 3 Well H4,88,H4,A,1,1,1,0,0,0.047754401,0,20.67723333
280,Plate 3 Well H5,89,H5,A,1,1,1,0.015761692,121.67,0.074085935,0.99088498,23.36816667
281,Plate 3 Well H6,90,H6,A,1,1,1,0,0,0.069657908,0,21.4032
282,Plate 3 Well H7,91,H7,A,1,1,1,0,0,0.079162037,0,22.91953333
283,Plate 3 Well H8,92,H8,A,1,1,1,0,0,0.057177743,0,21.23183333
284,Plate 3 Well H9,93,H9,A,1,1,1,0,0,0.045661674,0,20.73866667
285,Plate 3 Well H10,94,H10,A,1,1,1,0,0,0.063819999,0,20.93816667
286,Plate 3 Well H11,95,H11,A,1,1,1,-0.204943384,13.33361111,0.08360791,-0.990578242,22.9401
287,Plate 3 Well H12,96,H12,A,1,1,1,0.091487056,19.33361111,0.953787455,0.999866402,104.7750667
288,Plate 4 Well A1,1,A1,A,1,2,1,0,0,0.048285834,0,19.9516
289,Plate 4 Well A2,2,A2,A,1,2,1,0,0,0.067033067,0,20.9984
290,Plate 4 Well A3,3,A3,A,1,2,1,0,0,0.035049403,0,20.09476667
291,Plate 4 Well A4,4,A4,A,1,2,1,0.123212269,4.666666667,0.653730638,0.999544702,82.72303333
292,Plate 4 Well A5,5,A5,A,1,2,1,0,0,0.052089095,0,20.74896667
293,Plate 4 Well A6,6,A6,A,1,2,1,0,0,0.073205873,0,21.40373333
294,Plate 4 Well A7,7,A7,A,1,2,1,0.099012119,4.666666667,0.894866155,0.998157697,115.6592333
295,Plate 4 Well A8,8,A8,A,1,2,1,0.113526263,8.666666667,0.830331915,0.999668579,116.5967
296,Plate 4 Well A9,9,A9,A,1,2,1,0,0,0.031227325,0,19.32846667
297,Plate 4 Well A10,10,A10,A,1,2,1,0,0,0.105054228,0,22.69813333
