TreeTipLabel,Dataset,Lineage,Subphylogroup,Phylogroup,NewTreeTipLabel,SampleName
2PA3N_Z05_32_16YB_D832,Baker2023,acera128,K.1.2,K,Family 2 - Adult 1 - Lineage 128 - TP3,2PA3N_Z05_32_16YB_D832
2PA3N_Z05_33_16YB_D933,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3N_Z05_33_16YB_D933
2PA3N_Z05_34_16YB_D1034,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3N_Z05_34_16YB_D1034
2PA3N_Z05_36_16YB_D1236,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3N_Z05_36_16YB_D1236
2PB1C_S1D01,Baker2023,acera49,D.1,D,Family 2 - Adult 2 - Lineage 49 - TP1,2PB1C_S1D01
2PB1C_S1D02,Baker2023,acera49,D.1,D,Family 2 - Adult 2 - Lineage 49 - TP1,2PB1C_S1D02
2PB1C_S1D03,Baker2023,acera29,E.1,E,Family 2 - Adult 2 - Lineage 29 - TP1,2PB1C_S1D03
2PB1C_S1D04,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1C_S1D04
2PB1C_S1D06,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1C_S1D06
2PB1C_S1D07,Baker2023,acera32,H.1,H,Family 2 - Adult 2 - Lineage 32 - TP1,2PB1C_S1D07
2PB1C_S1D12,Baker2023,acera32,H.1,H,Family 2 - Adult 2 - Lineage 32 - TP1,2PB1C_S1D12
2PB1C_S1D14,Baker2023,acera29,E.1,E,Family 2 - Adult 2 - Lineage 29 - TP1,2PB1C_S1D14
2PB1F_S1A02,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A02
2PB1F_S1A03,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A03
2PB1F_S1A04,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A04
2PB1F_S1A06,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A06
2PB1F_S1A07,Baker2023,acera31,K.1.1,K,Family 2 - Adult 2 - Lineage 31 - TP1,2PB1F_S1A07
